threshold		meanRecall		stdRecall		aBO		stdBO
0.05		88.9		23.4		0.71		0.11
0.1		88.3		24.4		0.71		0.12
0.15		87.9		24.8		0.71		0.12
0.2		87.5		25.5		0.70		0.13
0.25		87.2		25.9		0.70		0.13
0.3		86.9		26.1		0.70		0.13
0.35		86.7		26.3		0.70		0.13
0.4		85.9		27.3		0.69		0.14
0.45		85.0		28.2		0.69		0.15
0.5		84.4		28.7		0.68		0.15
0.55		82.9		30.2		0.67		0.17
0.6		80.4		32.6		0.64		0.26
0.65		74.7		37.4		0.58		0.35
0.7		60.4		44.3		0.40		0.55
0.75		41.7		44.1		0.05		0.73
0.8		25.0		37.2		-0.37		0.76
0.85		6.4		20.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
