threshold		meanRecall		stdRecall		aBO		stdBO
0.05		4.4		18.8		0.76		0.12
0.1		4.4		18.8		0.76		0.12
0.15		4.4		18.8		0.76		0.13
0.2		4.4		18.8		0.76		0.13
0.25		4.4		18.8		0.75		0.13
0.3		4.4		18.8		0.75		0.14
0.35		4.4		18.8		0.75		0.14
0.4		4.2		18.2		0.75		0.14
0.45		4.2		18.2		0.74		0.15
0.5		4.2		18.2		0.74		0.16
0.55		4.0		17.9		0.73		0.18
0.6		3.5		16.5		0.69		0.27
0.65		3.1		15.3		0.63		0.36
0.7		2.3		13.0		0.44		0.58
0.75		1.2		9.9		0.08		0.75
0.8		0.0		0.0		-0.37		0.77
0.85		0.0		0.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
