threshold		meanRecall		stdRecall		aBO		stdBO
0.05		39.2		45.9		0.76		0.12
0.1		39.1		45.9		0.76		0.12
0.15		39.1		45.9		0.76		0.12
0.2		39.0		45.9		0.76		0.12
0.25		39.0		45.9		0.75		0.13
0.3		39.0		45.9		0.75		0.15
0.35		38.9		45.9		0.74		0.17
0.4		38.9		45.8		0.74		0.18
0.45		38.6		45.7		0.73		0.21
0.5		38.1		45.6		0.72		0.22
0.55		37.3		45.2		0.70		0.24
0.6		36.1		44.8		0.69		0.27
0.65		34.1		44.0		0.67		0.28
0.7		31.4		42.9		0.64		0.31
0.75		28.4		41.5		0.60		0.35
0.8		25.0		40.1		0.53		0.42
0.85		19.3		36.9		0.42		0.51
0.9		11.7		30.1		0.28		0.60
0.95		4.2		18.3		-0.01		0.70
