k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.03		0.02
10		0.06		1.79		0.08		0.07
25		1.52		9.94		0.15		0.12
50		6.54		19.93		0.24		0.18
100		16.47		30.88		0.34		0.22
500		56.37		40.75		0.56		0.22
1000		71.99		35.81		0.63		0.18
2000		85.22		27.99		0.69		0.13
3000		89.75		24.30		0.71		0.11
4000		92.64		21.75		0.72		0.10
5000		94.29		19.84		0.72		0.09
