threshold		meanRecall		stdRecall		aBO		stdBO
0.05		89.3		23.4		0.73		0.11
0.1		89.1		23.5		0.73		0.11
0.15		89.1		23.7		0.73		0.11
0.2		88.4		24.3		0.72		0.12
0.25		88.2		24.6		0.72		0.13
0.3		87.5		25.8		0.71		0.15
0.35		86.6		27.0		0.71		0.16
0.4		85.9		27.5		0.70		0.17
0.45		84.8		28.7		0.69		0.20
0.5		84.0		29.7		0.68		0.21
0.55		82.8		30.6		0.67		0.23
0.6		80.9		32.2		0.65		0.26
0.65		79.0		33.3		0.63		0.27
0.7		75.5		35.7		0.60		0.30
0.75		70.7		38.4		0.57		0.33
0.8		64.7		40.6		0.50		0.41
0.85		55.4		42.3		0.39		0.50
0.9		44.0		42.5		0.25		0.58
0.95		26.6		38.1		-0.03		0.68
