threshold		meanRecall		stdRecall		aBO		stdBO
0.05		94.6		17.8		0.69		0.11
0.1		94.6		17.9		0.69		0.11
0.15		94.5		17.8		0.69		0.12
0.2		94.1		18.4		0.69		0.12
0.25		93.8		18.6		0.68		0.13
0.3		92.5		20.9		0.68		0.15
0.35		91.7		22.3		0.67		0.16
0.4		91.0		23.3		0.66		0.17
0.45		89.7		24.7		0.65		0.20
0.5		88.7		26.0		0.65		0.21
0.55		87.9		27.1		0.63		0.23
0.6		86.2		28.8		0.61		0.25
0.65		84.0		30.9		0.59		0.26
0.7		81.3		33.6		0.57		0.29
0.75		77.3		36.5		0.53		0.32
0.8		71.4		39.7		0.47		0.40
0.85		62.8		42.7		0.36		0.48
0.9		52.4		43.4		0.23		0.56
0.95		33.9		40.6		-0.05		0.66
