k		meanRecall		stdRecall		aBO		stdBO
1		0.26		5.07		0.41		0.33
2		0.64		8.00		0.49		0.32
3		0.77		8.75		0.56		0.29
4		0.90		9.10		0.61		0.25
5		0.97		9.27		0.64		0.21
6		0.97		9.27		0.66		0.20
7		0.97		9.27		0.66		0.19
8		1.03		9.44		0.67		0.18
9		1.09		9.60		0.67		0.17
10		1.16		9.76		0.68		0.17
15		1.16		9.76		0.69		0.16
20		1.16		9.76		0.70		0.14
25		1.16		9.76		0.70		0.13
30		1.16		9.76		0.70		0.12
35		1.16		9.76		0.70		0.12
40		1.16		9.76		0.70		0.12
45		1.16		9.76		0.70		0.12
50		1.16		9.76		0.70		0.12
60		1.16		9.76		0.71		0.12
70		1.16		9.76		0.71		0.11
80		1.16		9.76		0.71		0.11
90		1.16		9.76		0.71		0.11
100		1.16		9.76		0.71		0.11
