threshold		meanRecall		stdRecall		aBO		stdBO
0.05		75.1		34.7		0.73		0.11
0.1		74.6		34.9		0.72		0.11
0.15		74.7		34.8		0.72		0.12
0.2		74.2		35.2		0.72		0.12
0.25		74.2		35.1		0.72		0.13
0.3		73.9		35.3		0.72		0.13
0.35		74.1		35.3		0.72		0.13
0.4		73.7		35.6		0.71		0.14
0.45		73.3		35.8		0.71		0.14
0.5		71.7		36.9		0.70		0.15
0.55		70.3		37.4		0.69		0.17
0.6		65.9		39.9		0.66		0.26
0.65		59.3		42.0		0.60		0.35
0.7		45.3		43.1		0.42		0.56
0.75		25.9		37.5		0.06		0.74
0.8		14.7		27.8		-0.37		0.76
0.85		4.7		16.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
