k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.03		0.02
10		0.00		0.00		0.08		0.07
25		0.64		6.18		0.15		0.12
50		3.07		13.72		0.24		0.18
100		8.00		21.22		0.34		0.22
500		30.14		38.30		0.56		0.22
1000		43.93		41.51		0.63		0.18
2000		54.33		41.98		0.69		0.13
3000		59.22		42.19		0.71		0.11
4000		60.04		41.96		0.72		0.10
5000		61.11		42.22		0.72		0.09
