k		meanRecall		stdRecall
1		52.5		41.5
2		63.1		39.1
3		69.5		36.1
4		72.6		34.5
5		74.5		33.0
6		76.6		31.5
7		78.0		30.0
8		79.1		29.2
9		80.0		28.4
10		80.5		28.3
15		84.3		26.2
20		86.7		24.7
25		88.1		23.4
30		88.3		23.3
35		88.7		23.1
40		88.9		23.0
45		89.1		22.8
50		89.3		22.7
60		89.6		22.1
70		89.7		22.0
80		90.0		21.7
90		90.2		21.5
100		90.4		21.2
