threshold		meanRecall		stdRecall		aBO		stdBO
0.05		91.9		18.5		0.76		0.12
0.1		91.9		18.5		0.76		0.12
0.15		91.8		18.6		0.76		0.12
0.2		91.4		19.3		0.76		0.12
0.25		91.2		19.8		0.75		0.13
0.3		90.8		20.5		0.75		0.15
0.35		90.1		21.6		0.74		0.17
0.4		89.1		23.0		0.74		0.18
0.45		88.3		24.0		0.73		0.21
0.5		87.4		25.2		0.72		0.22
0.55		86.6		25.9		0.70		0.24
0.6		85.0		27.5		0.69		0.27
0.65		83.6		28.7		0.67		0.28
0.7		81.4		30.7		0.64		0.31
0.75		76.8		34.2		0.60		0.35
0.8		70.4		37.9		0.53		0.42
0.85		60.1		41.6		0.42		0.51
0.9		48.6		42.8		0.28		0.60
0.95		31.2		39.3		-0.01		0.70
