k		meanRecall		stdRecall		aBO		stdBO
1		0.51		6.19		0.02		0.08
10		8.41		24.45		0.16		0.18
25		18.92		35.07		0.27		0.20
50		30.59		40.64		0.37		0.20
100		49.42		43.36		0.47		0.18
500		84.53		30.51		0.65		0.16
1000		84.98		30.26		0.65		0.15
2000		84.98		30.26		0.65		0.15
3000		84.98		30.26		0.65		0.15
4000		84.98		30.26		0.65		0.15
5000		84.98		30.26		0.65		0.15
