k		meanRecall		stdRecall		aBO		stdBO
1		1.67		12.31		0.27		0.26
2		3.84		18.37		0.30		0.28
3		5.13		21.32		0.32		0.29
4		6.28		23.60		0.34		0.29
5		7.49		25.71		0.35		0.30
6		8.13		26.74		0.36		0.30
7		9.74		29.05		0.38		0.30
8		10.90		30.38		0.39		0.30
9		12.18		31.87		0.40		0.31
10		13.41		33.22		0.41		0.31
15		18.62		37.88		0.44		0.32
20		23.06		40.57		0.48		0.32
25		25.16		41.47		0.50		0.32
30		26.75		42.19		0.52		0.32
35		28.87		43.19		0.54		0.32
40		30.09		43.88		0.55		0.32
45		30.85		44.29		0.56		0.32
50		32.05		44.81		0.57		0.32
60		33.10		45.11		0.58		0.31
70		34.66		45.34		0.59		0.31
80		35.52		45.53		0.60		0.31
90		35.89		45.58		0.62		0.30
100		36.29		45.60		0.63		0.29
