threshold		meanRecall		stdRecall		aBO		stdBO
0.05		21.7		38.7		0.71		0.11
0.1		21.1		38.1		0.70		0.12
0.15		20.7		37.7		0.70		0.13
0.2		20.0		37.3		0.69		0.13
0.25		19.8		37.2		0.69		0.13
0.3		18.9		36.5		0.69		0.14
0.35		18.4		36.1		0.68		0.14
0.4		18.3		36.0		0.68		0.14
0.45		17.7		35.5		0.67		0.15
0.5		16.2		34.2		0.66		0.16
0.55		13.2		31.0		0.65		0.17
0.6		11.1		28.5		0.61		0.25
0.65		8.1		24.4		0.56		0.34
0.7		5.5		20.2		0.39		0.55
0.75		4.5		17.9		0.05		0.73
0.8		3.3		15.4		-0.38		0.76
0.85		0.4		6.3		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
