k		meanRecall		stdRecall		aBO		stdBO
1		29.43		41.67		0.27		0.26
2		37.92		44.28		0.31		0.28
3		45.50		45.13		0.35		0.29
4		51.59		44.76		0.39		0.29
5		58.52		43.98		0.43		0.29
6		63.36		42.08		0.46		0.29
7		66.34		40.66		0.47		0.29
8		69.22		38.68		0.49		0.29
9		71.06		37.53		0.50		0.28
10		72.95		36.31		0.51		0.28
15		81.45		31.14		0.57		0.25
20		87.54		27.01		0.63		0.19
25		91.31		23.23		0.66		0.14
30		91.70		23.00		0.67		0.14
35		92.00		22.37		0.67		0.14
40		92.08		22.34		0.67		0.13
45		92.21		22.29		0.67		0.13
50		92.34		22.24		0.67		0.13
60		92.34		22.24		0.67		0.13
70		92.34		22.24		0.67		0.13
80		92.39		22.22		0.67		0.12
90		92.39		22.22		0.67		0.12
100		92.39		22.22		0.67		0.12
