threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.0		57.01		40.66		300		0		0.49		0.23
0.01		43.89		41.57		196		92		0.44		0.23
0.05		0.00		0.00		1		0		-0.22		0.45
0.1		0.00		0.00		0		0		-1.00		0.00
