threshold		meanRecall		stdRecall		aBO		stdBO
0.05		83.3		30.4		0.68		0.12
0.1		82.8		30.8		0.68		0.12
0.15		81.7		31.6		0.68		0.12
0.2		82.1		31.3		0.68		0.12
0.25		80.9		32.8		0.67		0.14
0.3		80.7		32.6		0.67		0.15
0.35		79.5		33.7		0.66		0.17
0.4		78.0		34.7		0.65		0.17
0.45		77.4		35.1		0.64		0.20
0.5		75.8		36.2		0.63		0.21
0.55		73.9		37.3		0.62		0.23
0.6		71.3		38.5		0.60		0.25
0.65		69.2		39.4		0.58		0.26
0.7		62.5		41.7		0.55		0.28
0.75		57.6		43.2		0.51		0.32
0.8		50.5		44.4		0.45		0.39
0.85		41.5		44.3		0.35		0.47
0.9		30.2		41.3		0.21		0.55
0.95		14.0		30.8		-0.07		0.65
