threshold		meanRecall		stdRecall		aBO		stdBO
0.05		95.7		14.5		0.71		0.11
0.1		95.0		16.3		0.70		0.12
0.15		94.3		17.2		0.70		0.13
0.2		93.7		18.1		0.69		0.13
0.25		93.7		18.3		0.69		0.13
0.3		93.4		19.1		0.69		0.14
0.35		92.7		19.8		0.68		0.14
0.4		92.1		20.6		0.68		0.14
0.45		91.7		20.8		0.67		0.15
0.5		90.6		21.9		0.66		0.16
0.55		89.9		23.2		0.65		0.17
0.6		87.8		26.2		0.61		0.25
0.65		82.9		31.5		0.56		0.34
0.7		70.2		40.6		0.39		0.55
0.75		48.3		44.5		0.05		0.73
0.8		27.5		38.6		-0.38		0.76
0.85		6.9		20.8		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
