k		meanRecall		stdRecall		aBO		stdBO
1		64.91		36.72		0.41		0.33
2		75.80		32.32		0.50		0.31
3		82.05		29.19		0.58		0.27
4		85.91		26.90		0.62		0.22
5		88.27		25.00		0.64		0.20
6		89.83		23.06		0.65		0.19
7		90.78		22.00		0.66		0.18
8		91.14		21.39		0.67		0.18
9		91.53		20.77		0.67		0.17
10		91.74		20.56		0.67		0.17
15		93.26		18.69		0.68		0.14
20		93.87		18.00		0.69		0.13
25		94.04		17.66		0.69		0.13
30		94.14		17.38		0.69		0.13
35		94.19		17.35		0.69		0.12
40		94.36		17.25		0.69		0.12
45		94.36		17.25		0.69		0.12
50		94.40		17.22		0.70		0.12
60		94.44		17.11		0.70		0.12
70		94.44		17.11		0.70		0.12
80		94.44		17.11		0.70		0.12
90		94.44		17.11		0.70		0.12
100		94.44		17.11		0.70		0.12
