k		meanRecall		stdRecall		aBO		stdBO
1		1.67		12.31		0.27		0.26
2		3.97		18.86		0.31		0.28
3		5.26		21.74		0.35		0.29
4		7.31		25.29		0.39		0.29
5		9.50		28.10		0.43		0.29
6		10.66		29.37		0.46		0.29
7		11.37		29.92		0.47		0.29
8		12.21		30.61		0.49		0.29
9		12.59		30.87		0.50		0.28
10		12.72		30.92		0.51		0.28
15		13.41		31.34		0.57		0.25
20		13.58		31.40		0.63		0.19
25		13.77		31.57		0.66		0.14
30		14.11		31.67		0.67		0.14
35		14.18		31.69		0.67		0.14
40		14.18		31.69		0.67		0.13
45		14.18		31.69		0.67		0.13
50		14.18		31.69		0.67		0.13
60		14.18		31.69		0.67		0.13
70		14.18		31.69		0.67		0.13
80		14.18		31.69		0.67		0.12
90		14.18		31.69		0.67		0.12
100		14.18		31.69		0.67		0.12
