threshold		meanRecall		stdRecall		aBO		stdBO
0.05		22.8		39.4		0.71		0.11
0.1		22.4		39.1		0.71		0.12
0.15		22.0		38.9		0.71		0.12
0.2		22.0		38.9		0.70		0.13
0.25		22.0		38.9		0.70		0.13
0.3		21.7		38.6		0.70		0.13
0.35		21.4		38.4		0.70		0.13
0.4		21.1		38.1		0.69		0.14
0.45		20.9		38.0		0.69		0.15
0.5		20.0		37.5		0.68		0.15
0.55		19.2		36.8		0.67		0.17
0.6		15.7		33.8		0.64		0.26
0.65		12.0		29.7		0.58		0.35
0.7		6.9		22.3		0.40		0.55
0.75		4.8		18.7		0.05		0.73
0.8		3.3		15.4		-0.37		0.76
0.85		0.4		6.3		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
