k		meanRecall		stdRecall		aBO		stdBO
1		5.64		21.29		0.41		0.33
2		9.93		27.82		0.47		0.33
3		14.16		32.80		0.50		0.33
4		18.51		36.57		0.53		0.33
5		20.83		38.27		0.55		0.32
6		22.78		39.53		0.57		0.32
7		24.71		40.87		0.59		0.31
8		26.19		41.86		0.60		0.30
9		27.91		42.69		0.62		0.29
10		29.30		43.38		0.63		0.28
15		32.67		45.12		0.69		0.22
20		34.04		45.50		0.71		0.20
25		35.05		45.85		0.72		0.18
30		35.61		45.92		0.72		0.18
35		35.97		45.97		0.73		0.18
40		36.68		46.12		0.73		0.17
45		36.85		46.10		0.73		0.17
50		37.11		46.17		0.73		0.17
60		37.90		46.18		0.74		0.16
70		38.18		46.12		0.74		0.16
80		38.25		46.10		0.74		0.15
90		38.29		46.08		0.75		0.15
100		38.46		46.03		0.75		0.15
