k		meanRecall		stdRecall		aBO		stdBO
1		52.60		41.52		0.41		0.33
2		65.25		38.98		0.49		0.32
3		72.54		35.75		0.56		0.29
4		77.48		32.83		0.61		0.25
5		80.37		31.23		0.64		0.21
6		82.35		29.72		0.66		0.20
7		83.20		28.98		0.66		0.19
8		83.87		28.60		0.67		0.18
9		84.45		27.79		0.67		0.17
10		84.83		27.66		0.68		0.17
15		86.10		26.83		0.69		0.16
20		87.43		25.56		0.70		0.14
25		87.79		25.20		0.70		0.13
30		87.86		25.04		0.70		0.12
35		87.90		24.97		0.70		0.12
40		88.03		24.78		0.70		0.12
45		88.20		24.51		0.70		0.12
50		88.25		24.39		0.70		0.12
60		88.29		24.32		0.71		0.12
70		88.29		24.32		0.71		0.11
80		88.29		24.32		0.71		0.11
90		88.29		24.32		0.71		0.11
100		88.29		24.32		0.71		0.11
