k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.07
10		0.00		0.00		0.15		0.17
25		0.00		0.00		0.26		0.19
50		0.00		0.00		0.35		0.19
100		0.00		0.00		0.45		0.18
500		1.65		10.24		0.64		0.14
1000		2.77		13.18		0.71		0.13
2000		3.28		14.24		0.72		0.12
3000		3.28		14.24		0.72		0.12
4000		3.28		14.24		0.72		0.12
5000		3.28		14.24		0.72		0.12
