k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.03		0.02
10		0.00		0.00		0.08		0.07
25		0.00		0.00		0.15		0.12
50		0.19		3.10		0.24		0.18
100		1.57		8.87		0.34		0.22
500		9.24		24.64		0.56		0.22
1000		12.53		28.23		0.63		0.18
2000		15.32		30.29		0.69		0.13
3000		16.60		31.51		0.71		0.11
4000		16.30		31.04		0.72		0.10
5000		16.92		31.54		0.72		0.09
