k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.27		0.26
2		0.13		3.59		0.31		0.28
3		0.13		3.59		0.35		0.29
4		0.13		3.59		0.39		0.29
5		0.13		3.59		0.42		0.29
6		0.13		3.59		0.45		0.29
7		0.13		3.59		0.47		0.29
8		0.13		3.59		0.48		0.29
9		0.13		3.59		0.50		0.29
10		0.13		3.59		0.51		0.29
15		0.13		3.59		0.56		0.26
20		0.13		3.59		0.61		0.22
25		0.13		3.59		0.65		0.17
30		0.13		3.59		0.67		0.14
35		0.13		3.59		0.68		0.13
40		0.13		3.59		0.68		0.13
45		0.13		3.59		0.68		0.13
50		0.13		3.59		0.68		0.13
60		0.13		3.59		0.68		0.12
70		0.13		3.59		0.68		0.12
80		0.13		3.59		0.68		0.12
90		0.13		3.59		0.68		0.12
100		0.13		3.59		0.68		0.12
