k		meanRecall		stdRecall
1		5.6		21.3
2		9.9		27.8
3		14.2		32.8
4		18.6		36.7
5		20.8		38.3
6		22.8		39.5
7		24.7		40.9
8		26.2		41.9
9		27.9		42.7
10		29.3		43.4
15		32.7		45.1
20		34.0		45.5
25		35.0		45.8
30		35.6		45.9
35		36.0		46.0
40		36.7		46.1
45		36.9		46.1
50		37.1		46.2
60		37.9		46.2
70		38.2		46.1
80		38.2		46.1
90		38.3		46.1
100		38.5		46.0
