threshold		meanRecall		stdRecall		aBO		stdBO
0.05		94.2		18.7		0.68		0.12
0.1		94.1		19.1		0.68		0.12
0.15		93.4		20.7		0.68		0.12
0.2		93.4		20.7		0.68		0.12
0.25		92.3		22.1		0.67		0.14
0.3		91.5		23.1		0.67		0.15
0.35		90.9		24.0		0.66		0.17
0.4		90.1		24.9		0.65		0.17
0.45		88.6		26.5		0.64		0.20
0.5		87.6		27.9		0.63		0.21
0.55		86.7		28.7		0.62		0.23
0.6		84.4		31.1		0.60		0.25
0.65		82.6		32.6		0.58		0.26
0.7		79.5		35.3		0.55		0.28
0.75		75.7		37.9		0.51		0.32
0.8		68.9		41.2		0.45		0.39
0.85		59.1		43.7		0.35		0.47
0.9		47.8		44.0		0.21		0.55
0.95		29.1		39.6		-0.07		0.65
