threshold		meanRecall		stdRecall		aBO		stdBO
0.05		79.9		33.2		0.67		0.12
0.1		79.7		33.1		0.67		0.12
0.15		79.2		33.4		0.67		0.13
0.2		78.0		34.3		0.66		0.13
0.25		77.3		35.2		0.66		0.14
0.3		76.4		35.5		0.65		0.15
0.35		74.8		36.2		0.64		0.17
0.4		74.2		36.3		0.63		0.18
0.45		71.8		37.8		0.62		0.20
0.5		68.7		39.5		0.60		0.21
0.55		66.0		40.6		0.59		0.22
0.6		62.6		41.6		0.57		0.24
0.65		57.4		43.4		0.54		0.25
0.7		52.7		44.4		0.52		0.28
0.75		47.1		45.2		0.48		0.31
0.8		41.8		44.5		0.42		0.38
0.85		33.1		42.4		0.32		0.46
0.9		23.8		39.0		0.19		0.54
0.95		10.3		27.6		-0.08		0.64
