threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		96.72		12.38		1163		201		0.76		0.12
0.1		96.72		12.38		807		263		0.76		0.12
0.15		96.68		12.43		536		214		0.76		0.12
0.2		96.33		12.87		404		173		0.76		0.12
0.25		95.65		13.84		329		148		0.75		0.13
0.3		95.15		14.89		280		130		0.75		0.15
0.35		94.53		16.28		245		117		0.74		0.17
0.4		94.04		17.21		217		107		0.74		0.18
0.45		92.71		19.57		193		98		0.73		0.21
0.5		91.66		21.43		171		91		0.72		0.22
0.55		90.58		22.67		152		85		0.70		0.24
0.6		89.25		24.14		133		78		0.69		0.27
0.65		87.92		25.52		116		72		0.67		0.28
0.7		86.12		27.62		99		66		0.64		0.31
0.75		83.14		30.47		84		59		0.60		0.35
0.8		76.75		35.49		69		52		0.53		0.42
0.85		67.95		39.82		53		44		0.42		0.51
0.9		57.76		42.18		37		35		0.28		0.60
0.95		39.53		41.10		20		25		-0.01		0.70
