k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.27		0.26
2		0.13		3.59		0.31		0.28
3		0.26		5.07		0.34		0.29
4		0.26		5.07		0.37		0.29
5		0.26		5.07		0.39		0.30
6		0.26		5.07		0.41		0.30
7		0.26		5.07		0.43		0.30
8		0.26		5.07		0.45		0.30
9		0.26		5.07		0.46		0.30
10		0.26		5.07		0.48		0.30
15		0.39		6.20		0.52		0.30
20		0.39		6.20		0.54		0.30
25		0.39		6.20		0.57		0.29
30		0.39		6.20		0.59		0.27
35		0.39		6.20		0.63		0.24
40		0.39		6.20		0.65		0.23
45		0.39		6.20		0.66		0.22
50		0.39		6.20		0.67		0.20
60		0.39		6.20		0.70		0.16
70		0.39		6.20		0.71		0.15
80		0.39		6.20		0.71		0.14
90		0.39		6.20		0.72		0.13
100		0.39		6.20		0.72		0.13
