threshold		meanRecall		stdRecall		aBO		stdBO
0.05		91.6		19.1		0.76		0.12
0.1		91.4		19.6		0.76		0.12
0.15		91.1		20.2		0.76		0.13
0.2		90.9		20.5		0.76		0.13
0.25		90.8		20.5		0.75		0.13
0.3		90.7		20.6		0.75		0.14
0.35		90.5		20.9		0.75		0.14
0.4		90.3		21.4		0.75		0.14
0.45		89.7		22.2		0.74		0.15
0.5		89.1		23.0		0.74		0.16
0.55		88.2		24.8		0.73		0.18
0.6		86.7		27.0		0.69		0.27
0.65		81.6		32.7		0.63		0.36
0.7		66.9		41.6		0.44		0.58
0.75		45.7		44.3		0.08		0.75
0.8		25.9		37.7		-0.37		0.77
0.85		6.5		20.3		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
