k		meanRecall		stdRecall		aBO		stdBO
1		6.37		23.69		0.27		0.26
2		11.82		31.38		0.31		0.28
3		16.45		35.93		0.35		0.29
4		21.66		39.81		0.39		0.29
5		25.95		41.90		0.42		0.29
6		29.49		43.26		0.45		0.29
7		32.05		44.02		0.47		0.29
8		33.81		44.34		0.48		0.29
9		36.16		44.92		0.50		0.29
10		38.91		45.36		0.51		0.29
15		45.39		45.24		0.56		0.26
20		51.80		43.49		0.61		0.22
25		55.15		42.32		0.65		0.17
30		56.97		41.76		0.67		0.14
35		57.66		41.52		0.68		0.13
40		58.22		41.38		0.68		0.13
45		58.54		41.36		0.68		0.13
50		58.67		41.33		0.68		0.13
60		58.77		41.27		0.68		0.12
70		58.77		41.27		0.68		0.12
80		58.77		41.27		0.68		0.12
90		58.77		41.27		0.68		0.12
100		58.84		41.22		0.68		0.12
