k		meanRecall		stdRecall		aBO		stdBO
1		28.14		38.75		0.41		0.33
2		40.84		42.12		0.47		0.33
3		50.19		42.36		0.50		0.33
4		55.73		41.79		0.53		0.33
5		59.20		40.99		0.55		0.32
6		62.01		40.03		0.57		0.32
7		65.19		38.70		0.59		0.31
8		67.98		37.27		0.60		0.30
9		69.82		36.20		0.62		0.29
10		71.11		35.64		0.63		0.28
15		75.40		32.99		0.69		0.22
20		78.25		31.27		0.71		0.20
25		79.67		30.35		0.72		0.18
30		80.39		29.41		0.72		0.18
35		81.04		28.84		0.73		0.18
40		81.70		28.39		0.73		0.17
45		81.87		28.20		0.73		0.17
50		82.20		27.77		0.73		0.17
60		82.60		27.18		0.74		0.16
70		83.33		26.65		0.74		0.16
80		83.72		26.40		0.74		0.15
90		83.93		26.25		0.75		0.15
100		84.11		25.95		0.75		0.15
