threshold		meanRecall		stdRecall		aBO		stdBO
0.05		1.2		9.8		0.71		0.11
0.1		1.0		9.4		0.70		0.12
0.15		1.1		9.6		0.70		0.13
0.2		1.0		9.4		0.69		0.13
0.25		1.0		9.4		0.69		0.13
0.3		1.0		9.3		0.69		0.14
0.35		1.0		9.3		0.68		0.14
0.4		0.9		9.1		0.68		0.14
0.45		0.9		9.1		0.67		0.15
0.5		0.6		7.6		0.66		0.16
0.55		0.5		6.7		0.65		0.17
0.6		0.7		8.2		0.61		0.25
0.65		0.4		6.2		0.56		0.34
0.7		0.0		0.0		0.39		0.55
0.75		0.0		0.0		0.05		0.73
0.8		0.0		0.0		-0.38		0.76
0.85		0.0		0.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
