k		meanRecall		stdRecall		aBO		stdBO
1		5.64		21.29		0.41		0.33
2		10.15		27.91		0.49		0.32
3		14.84		33.30		0.56		0.29
4		17.72		35.87		0.61		0.25
5		19.26		37.38		0.64		0.21
6		19.84		37.81		0.66		0.20
7		20.10		37.84		0.66		0.19
8		20.42		38.05		0.67		0.18
9		20.66		38.24		0.67		0.17
10		20.79		38.33		0.68		0.17
15		21.41		38.65		0.69		0.16
20		21.58		38.65		0.70		0.14
25		21.66		38.72		0.70		0.13
30		21.66		38.72		0.70		0.12
35		21.66		38.72		0.70		0.12
40		21.66		38.72		0.70		0.12
45		21.66		38.72		0.70		0.12
50		21.66		38.72		0.70		0.12
60		21.66		38.72		0.71		0.12
70		21.66		38.72		0.71		0.11
80		21.66		38.72		0.71		0.11
90		21.66		38.72		0.71		0.11
100		21.66		38.72		0.71		0.11
