k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.03		0.02
10		0.00		0.00		0.08		0.07
25		0.00		0.00		0.15		0.12
50		0.00		0.00		0.24		0.18
100		0.00		0.00		0.34		0.22
500		0.56		6.30		0.56		0.22
1000		0.66		6.65		0.63		0.18
2000		0.75		7.45		0.69		0.13
3000		0.79		7.55		0.71		0.11
4000		0.86		7.75		0.72		0.10
5000		0.75		7.45		0.72		0.09
