k		meanRecall		stdRecall		aBO		stdBO
1		1.67		12.31		0.27		0.26
2		4.16		19.24		0.31		0.28
3		5.19		21.53		0.35		0.29
4		6.99		24.81		0.38		0.29
5		9.82		28.72		0.42		0.29
6		10.60		29.67		0.44		0.29
7		11.43		30.38		0.46		0.30
8		12.27		31.05		0.48		0.29
9		12.85		31.28		0.49		0.29
10		13.17		31.51		0.50		0.29
15		14.69		32.56		0.55		0.28
20		15.14		32.86		0.60		0.24
25		15.14		32.86		0.63		0.21
30		15.38		32.92		0.66		0.17
35		15.59		32.96		0.68		0.14
40		15.85		33.13		0.68		0.14
45		15.92		33.15		0.68		0.13
50		15.92		33.15		0.69		0.13
60		15.98		33.16		0.69		0.12
70		15.98		33.16		0.69		0.12
80		15.98		33.16		0.69		0.12
90		15.98		33.16		0.69		0.12
100		15.98		33.16		0.69		0.12
