k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.27		0.26
2		0.26		5.07		0.31		0.28
3		0.26		5.07		0.35		0.29
4		0.26		5.07		0.38		0.29
5		0.26		5.07		0.42		0.29
6		0.26		5.07		0.44		0.29
7		0.26		5.07		0.46		0.30
8		0.39		6.20		0.48		0.29
9		0.39		6.20		0.49		0.29
10		0.39		6.20		0.50		0.29
15		0.39		6.20		0.55		0.28
20		0.39		6.20		0.60		0.24
25		0.39		6.20		0.63		0.21
30		0.39		6.20		0.66		0.17
35		0.39		6.20		0.68		0.14
40		0.39		6.20		0.68		0.14
45		0.39		6.20		0.68		0.13
50		0.39		6.20		0.69		0.13
60		0.39		6.20		0.69		0.12
70		0.39		6.20		0.69		0.12
80		0.39		6.20		0.69		0.12
90		0.39		6.20		0.69		0.12
100		0.39		6.20		0.69		0.12
