threshold		meanRecall		stdRecall		aBO		stdBO
0.05		53.1		42.8		0.67		0.12
0.1		52.1		42.8		0.67		0.12
0.15		50.3		42.7		0.67		0.13
0.2		49.7		42.7		0.66		0.13
0.25		48.9		43.0		0.66		0.14
0.3		48.0		43.1		0.65		0.15
0.35		46.7		43.3		0.64		0.17
0.4		45.0		43.7		0.63		0.18
0.45		43.4		43.9		0.62		0.20
0.5		40.8		43.9		0.60		0.21
0.55		37.5		43.5		0.59		0.22
0.6		33.6		42.6		0.57		0.24
0.65		29.0		41.3		0.54		0.25
0.7		25.5		39.8		0.52		0.28
0.75		20.3		37.1		0.48		0.31
0.8		16.9		35.1		0.42		0.38
0.85		11.9		30.2		0.32		0.46
0.9		6.8		23.1		0.19		0.54
0.95		3.0		16.0		-0.08		0.64
