threshold		meanRecall		stdRecall		aBO		stdBO
0.05		1.5		11.5		0.73		0.11
0.1		1.5		11.5		0.72		0.11
0.15		1.4		11.0		0.72		0.12
0.2		1.5		11.5		0.72		0.12
0.25		1.5		11.5		0.72		0.13
0.3		1.5		11.5		0.72		0.13
0.35		1.5		11.5		0.72		0.13
0.4		1.7		12.1		0.71		0.14
0.45		1.7		12.1		0.71		0.14
0.5		1.5		11.5		0.70		0.15
0.55		1.5		11.5		0.69		0.17
0.6		1.5		11.5		0.66		0.26
0.65		1.5		11.5		0.60		0.35
0.7		1.0		9.3		0.42		0.56
0.75		0.6		7.4		0.06		0.74
0.8		0.0		0.0		-0.37		0.76
0.85		0.0		0.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
