k		meanRecall		stdRecall		aBO		stdBO
1		6.37		23.69		0.27		0.26
2		12.14		31.82		0.31		0.28
3		16.58		36.05		0.35		0.29
4		21.09		39.35		0.38		0.29
5		25.63		41.98		0.42		0.29
6		28.40		42.91		0.44		0.29
7		30.95		43.81		0.46		0.30
8		32.95		44.13		0.48		0.29
9		34.92		44.48		0.49		0.29
10		36.85		44.95		0.50		0.29
15		45.09		45.46		0.55		0.28
20		52.34		43.62		0.60		0.24
25		56.50		42.41		0.63		0.21
30		59.24		41.32		0.66		0.17
35		60.70		40.62		0.68		0.14
40		61.33		40.33		0.68		0.14
45		61.73		40.09		0.68		0.13
50		62.10		40.02		0.69		0.13
60		62.68		39.80		0.69		0.12
70		62.81		39.68		0.69		0.12
80		62.81		39.68		0.69		0.12
90		62.87		39.62		0.69		0.12
100		62.87		39.62		0.69		0.12
