k		meanRecall		stdRecall		aBO		stdBO
1		0.32		4.73		0.02		0.08
10		3.90		16.61		0.16		0.18
25		8.54		24.97		0.27		0.20
50		16.11		32.32		0.37		0.20
100		27.97		39.84		0.47		0.18
500		67.85		40.41		0.65		0.16
1000		68.17		40.30		0.65		0.15
2000		68.17		40.30		0.65		0.15
3000		68.17		40.30		0.65		0.15
4000		68.17		40.30		0.65		0.15
5000		68.17		40.30		0.65		0.15
