threshold		meanRecall		stdRecall		aBO		stdBO
0.05		24.6		38.8		0.73		0.11
0.1		24.6		38.9		0.73		0.11
0.15		24.6		39.0		0.73		0.11
0.2		24.3		38.8		0.72		0.12
0.25		24.4		38.8		0.72		0.13
0.3		24.2		38.6		0.71		0.15
0.35		24.4		38.9		0.71		0.16
0.4		24.2		38.7		0.70		0.17
0.45		23.8		38.4		0.69		0.20
0.5		23.8		38.4		0.68		0.21
0.55		22.9		38.0		0.67		0.23
0.6		21.4		37.0		0.65		0.26
0.65		21.2		37.0		0.63		0.27
0.7		19.2		35.5		0.60		0.30
0.75		16.3		33.3		0.57		0.33
0.8		14.2		31.9		0.50		0.41
0.85		10.5		28.5		0.39		0.50
0.9		7.6		25.1		0.25		0.58
0.95		2.1		13.8		-0.03		0.68
