threshold		meanRecall		stdRecall		aBO		stdBO
0.05		68.4		39.2		0.71		0.11
0.1		67.9		39.4		0.71		0.12
0.15		67.1		39.9		0.71		0.12
0.2		67.0		40.0		0.70		0.13
0.25		66.9		40.2		0.70		0.13
0.3		65.9		40.5		0.70		0.13
0.35		65.8		40.6		0.70		0.13
0.4		65.0		40.8		0.69		0.14
0.45		64.4		40.9		0.69		0.15
0.5		62.5		41.3		0.68		0.15
0.55		60.6		41.8		0.67		0.17
0.6		55.4		43.0		0.64		0.26
0.65		47.3		43.5		0.58		0.35
0.7		34.6		41.1		0.40		0.55
0.75		21.8		34.6		0.05		0.73
0.8		14.2		27.2		-0.37		0.76
0.85		4.7		16.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
