threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		94.19		18.70		93		14		0.68		0.12
0.1		94.08		19.13		73		19		0.68		0.12
0.15		93.39		20.73		50		18		0.68		0.12
0.2		93.44		20.66		38		15		0.68		0.12
0.25		92.34		22.12		31		13		0.67		0.14
0.3		91.46		23.14		27		12		0.67		0.15
0.35		90.86		23.99		23		10		0.66		0.17
0.4		90.07		24.92		21		10		0.65		0.17
0.45		88.61		26.53		19		9		0.64		0.20
0.5		87.56		27.94		17		8		0.63		0.21
0.55		86.68		28.67		15		7		0.62		0.23
0.6		84.38		31.15		14		7		0.60		0.25
0.65		82.60		32.58		12		6		0.58		0.26
0.7		79.45		35.29		10		6		0.55		0.28
0.75		75.65		37.89		9		5		0.51		0.32
0.8		68.90		41.24		7		5		0.45		0.39
0.85		59.09		43.71		6		4		0.35		0.47
0.9		47.77		43.97		4		3		0.21		0.55
0.95		29.06		39.57		2		2		-0.07		0.65
