k		meanRecall		stdRecall		aBO		stdBO
1		6.37		23.69		0.27		0.26
2		11.50		31.04		0.31		0.28
3		16.45		35.84		0.35		0.29
4		21.77		39.73		0.39		0.29
5		26.40		42.11		0.43		0.29
6		29.62		43.39		0.46		0.29
7		31.77		43.91		0.47		0.29
8		33.87		44.40		0.49		0.29
9		36.04		44.88		0.50		0.28
10		37.26		45.13		0.51		0.28
15		43.03		44.90		0.57		0.25
20		49.08		43.45		0.63		0.19
25		51.59		42.81		0.66		0.14
30		52.60		42.73		0.67		0.14
35		52.90		42.68		0.67		0.14
40		53.09		42.78		0.67		0.13
45		53.13		42.78		0.67		0.13
50		53.13		42.78		0.67		0.13
60		53.13		42.78		0.67		0.13
70		53.13		42.78		0.67		0.13
80		53.13		42.78		0.67		0.12
90		53.13		42.78		0.67		0.12
100		53.13		42.78		0.67		0.12
