threshold		meanRecall		stdRecall		aBO		stdBO
0.05		96.4		13.4		0.73		0.11
0.1		96.1		14.0		0.72		0.11
0.15		95.8		14.6		0.72		0.12
0.2		95.5		15.1		0.72		0.12
0.25		95.4		15.3		0.72		0.13
0.3		95.0		15.8		0.72		0.13
0.35		94.6		16.3		0.72		0.13
0.4		94.1		17.2		0.71		0.14
0.45		93.6		18.2		0.71		0.14
0.5		92.8		19.2		0.70		0.15
0.55		92.0		20.7		0.69		0.17
0.6		90.0		24.0		0.66		0.26
0.65		85.5		29.8		0.60		0.35
0.7		72.1		40.2		0.42		0.56
0.75		48.8		44.5		0.06		0.74
0.8		27.5		38.6		-0.37		0.76
0.85		6.9		20.8		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
