threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals
0.05		92.7		19.8		23		8
0.1		92.1		20.7		15		5
0.15		90.8		22.2		11		4
0.2		90.2		22.7		9		4
0.25		89.5		23.4		8		3
0.3		89.0		24.0		7		3
0.35		88.5		24.5		6		2
0.4		87.0		26.3		5		2
0.45		86.5		26.6		5		2
0.5		85.6		27.4		4		2
0.55		85.1		28.0		3		2
0.6		83.5		30.0		3		1
0.65		80.4		33.3		2		1
0.7		69.7		40.8		1		1
0.75		48.3		44.5		0		0
0.8		27.5		38.6		0		0
0.85		6.9		20.8		0		0
0.9		0.0		0.0		0		0
0.95		0.0		0.0		0		0
