k		meanRecall		stdRecall		aBO		stdBO
1		6.37		23.69		0.27		0.26
2		12.21		31.94		0.31		0.28
3		16.45		36.11		0.34		0.29
4		20.06		38.82		0.37		0.29
5		23.72		41.12		0.39		0.30
6		26.28		42.35		0.41		0.30
7		28.01		42.79		0.43		0.30
8		30.33		43.38		0.45		0.30
9		32.18		43.78		0.46		0.30
10		34.15		44.21		0.48		0.30
15		42.62		44.79		0.52		0.30
20		49.64		44.88		0.54		0.30
25		54.35		43.64		0.57		0.29
30		59.27		41.59		0.59		0.27
35		63.43		39.89		0.63		0.24
40		66.43		38.85		0.65		0.23
45		68.38		38.09		0.66		0.22
50		70.29		37.41		0.67		0.20
60		72.18		36.63		0.70		0.16
70		73.44		35.88		0.71		0.15
80		74.07		35.69		0.71		0.14
90		74.43		35.49		0.72		0.13
100		74.82		35.13		0.72		0.13
