k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.07
10		0.00		0.00		0.15		0.17
25		0.26		4.39		0.26		0.19
50		1.03		8.35		0.35		0.19
100		2.38		13.57		0.45		0.18
500		14.03		29.66		0.64		0.14
1000		26.96		38.59		0.71		0.13
2000		28.34		39.30		0.72		0.12
3000		28.34		39.30		0.72		0.12
4000		28.34		39.30		0.72		0.12
5000		28.34		39.30		0.72		0.12
