threshold		meanRecall		stdRecall		aBO		stdBO
0.05		96.7		12.4		0.76		0.12
0.1		96.7		12.4		0.76		0.12
0.15		96.7		12.4		0.76		0.12
0.2		96.3		12.9		0.76		0.12
0.25		95.6		13.8		0.75		0.13
0.3		95.2		14.9		0.75		0.15
0.35		94.5		16.3		0.74		0.17
0.4		94.0		17.2		0.74		0.18
0.45		92.7		19.6		0.73		0.21
0.5		91.7		21.4		0.72		0.22
0.55		90.6		22.7		0.70		0.24
0.6		89.3		24.1		0.69		0.27
0.65		87.9		25.5		0.67		0.28
0.7		86.1		27.6		0.64		0.31
0.75		83.1		30.5		0.60		0.35
0.8		76.7		35.5		0.53		0.42
0.85		68.0		39.8		0.42		0.51
0.9		57.8		42.2		0.28		0.60
0.95		39.5		41.1		-0.01		0.70
