threshold		meanRecall		stdRecall		aBO		stdBO
0.05		75.8		34.2		0.73		0.11
0.1		76.0		34.2		0.73		0.11
0.15		76.2		34.2		0.73		0.11
0.2		75.7		34.5		0.72		0.12
0.25		75.2		34.5		0.72		0.13
0.3		74.7		35.0		0.71		0.15
0.35		74.0		35.3		0.71		0.16
0.4		73.1		35.6		0.70		0.17
0.45		72.5		35.8		0.69		0.20
0.5		71.9		36.1		0.68		0.21
0.55		70.0		37.0		0.67		0.23
0.6		67.5		37.8		0.65		0.26
0.65		64.7		39.0		0.63		0.27
0.7		59.6		40.7		0.60		0.30
0.75		55.1		42.0		0.57		0.33
0.8		48.0		43.2		0.50		0.41
0.85		37.2		43.2		0.39		0.50
0.9		26.7		40.1		0.25		0.58
0.95		11.8		29.1		-0.03		0.68
