k		meanRecall		stdRecall		aBO		stdBO
1		15.83		34.66		0.27		0.26
2		22.76		39.90		0.31		0.28
3		28.89		43.02		0.35		0.29
4		34.45		45.16		0.39		0.29
5		40.20		46.27		0.43		0.29
6		45.09		46.30		0.46		0.29
7		48.84		45.72		0.47		0.29
8		53.95		44.57		0.49		0.29
9		56.97		43.47		0.50		0.28
10		59.16		42.69		0.51		0.28
15		68.81		38.86		0.57		0.25
20		75.48		36.23		0.63		0.19
25		78.61		34.33		0.66		0.14
30		79.43		33.58		0.67		0.14
35		79.67		33.36		0.67		0.14
40		79.90		33.20		0.67		0.13
45		79.94		33.20		0.67		0.13
50		79.94		33.20		0.67		0.13
60		79.94		33.20		0.67		0.13
70		79.94		33.20		0.67		0.13
80		79.94		33.20		0.67		0.12
90		79.94		33.20		0.67		0.12
100		79.94		33.20		0.67		0.12
