k		meanRecall		stdRecall		aBO		stdBO
1		6.37		23.69		0.27		0.26
2		11.03		30.29		0.30		0.28
3		14.11		33.60		0.32		0.29
4		15.98		35.36		0.34		0.29
5		18.73		37.46		0.35		0.30
6		20.66		38.91		0.36		0.30
7		21.88		39.60		0.38		0.30
8		24.26		41.23		0.39		0.30
9		25.23		41.62		0.40		0.31
10		27.54		42.62		0.41		0.31
15		33.01		44.62		0.44		0.32
20		36.25		45.27		0.48		0.32
25		39.55		45.52		0.50		0.32
30		43.48		45.70		0.52		0.32
35		48.28		45.89		0.54		0.32
40		52.75		45.26		0.55		0.32
45		55.38		44.93		0.56		0.32
50		57.89		44.52		0.57		0.32
60		60.92		43.35		0.58		0.31
70		64.48		41.23		0.59		0.31
80		65.77		40.45		0.60		0.31
90		68.66		38.38		0.62		0.30
100		70.06		37.07		0.63		0.29
