threshold		meanRecall		stdRecall		aBO		stdBO
0.05		0.1		3.6		0.68		0.12
0.1		0.1		3.6		0.68		0.12
0.15		0.1		3.6		0.68		0.12
0.2		0.3		5.1		0.68		0.12
0.25		0.1		3.6		0.67		0.14
0.3		0.1		3.6		0.67		0.15
0.35		0.1		3.6		0.66		0.17
0.4		0.1		3.6		0.65		0.17
0.45		0.1		3.6		0.64		0.20
0.5		0.1		3.6		0.63		0.21
0.55		0.1		3.6		0.62		0.23
0.6		0.3		5.1		0.60		0.25
0.65		0.1		3.6		0.58		0.26
0.7		0.1		3.6		0.55		0.28
0.75		0.1		3.6		0.51		0.32
0.8		0.1		3.6		0.45		0.39
0.85		0.3		5.1		0.35		0.47
0.9		0.1		3.6		0.21		0.55
0.95		0.0		0.0		-0.07		0.65
