k		meanRecall		stdRecall
1		0.3		5.1
2		0.8		8.8
3		1.3		11.3
4		1.5		12.3
5		1.5		12.3
6		1.7		12.6
7		2.2		14.2
8		2.3		14.6
9		2.3		14.6
10		2.5		14.9
15		3.1		16.0
20		3.4		16.3
25		3.6		17.0
30		4.0		17.8
35		4.2		18.2
40		4.2		18.2
45		4.2		18.2
50		4.2		18.2
60		4.3		18.5
70		4.4		18.8
80		4.4		18.8
90		4.4		18.8
100		4.4		18.8
