threshold		meanRecall		stdRecall		aBO		stdBO
0.05		0.4		6.2		0.69		0.11
0.1		0.4		6.2		0.69		0.11
0.15		0.4		6.2		0.69		0.12
0.2		0.4		6.2		0.69		0.12
0.25		0.3		5.1		0.68		0.13
0.3		0.3		5.1		0.68		0.15
0.35		0.3		5.1		0.67		0.16
0.4		0.3		5.1		0.66		0.17
0.45		0.3		5.1		0.65		0.20
0.5		0.3		5.1		0.65		0.21
0.55		0.3		5.1		0.63		0.23
0.6		0.3		5.1		0.61		0.25
0.65		0.3		5.1		0.59		0.26
0.7		0.3		5.1		0.57		0.29
0.75		0.3		5.1		0.53		0.32
0.8		0.3		5.1		0.47		0.40
0.85		0.3		5.1		0.36		0.48
0.9		0.3		5.1		0.23		0.56
0.95		0.0		0.0		-0.05		0.66
