k		meanRecall		stdRecall		aBO		stdBO
1		0.26		5.07		0.41		0.33
2		0.77		8.75		0.47		0.33
3		1.29		11.27		0.50		0.33
4		1.54		12.33		0.53		0.33
5		1.54		12.33		0.55		0.32
6		1.67		12.57		0.57		0.32
7		2.19		14.18		0.59		0.31
8		2.32		14.61		0.60		0.30
9		2.32		14.61		0.62		0.29
10		2.51		14.90		0.63		0.28
15		3.13		15.98		0.69		0.22
20		3.39		16.33		0.71		0.20
25		3.65		17.05		0.72		0.18
30		3.97		17.81		0.72		0.18
35		4.16		18.21		0.73		0.18
40		4.16		18.21		0.73		0.17
45		4.16		18.21		0.73		0.17
50		4.16		18.21		0.73		0.17
60		4.29		18.53		0.74		0.16
70		4.42		18.85		0.74		0.16
80		4.42		18.85		0.74		0.15
90		4.42		18.85		0.75		0.15
100		4.42		18.85		0.75		0.15
