k		meanRecall		stdRecall		aBO		stdBO
1		15.83		34.66		0.27		0.26
2		22.48		39.79		0.31		0.28
3		27.22		42.53		0.34		0.29
4		31.38		44.09		0.37		0.29
5		34.26		44.95		0.39		0.30
6		38.07		45.66		0.41		0.30
7		41.61		45.97		0.43		0.30
8		45.32		45.81		0.45		0.30
9		49.14		45.16		0.46		0.30
10		52.49		44.71		0.48		0.30
15		61.95		41.27		0.52		0.30
20		66.90		38.49		0.54		0.30
25		70.44		36.31		0.57		0.29
30		74.41		34.17		0.59		0.27
35		77.95		33.47		0.63		0.24
40		80.57		32.16		0.65		0.23
45		81.85		31.13		0.66		0.22
50		83.08		30.56		0.67		0.20
60		85.18		29.02		0.70		0.16
70		86.49		27.47		0.71		0.15
80		86.87		27.19		0.71		0.14
90		87.82		25.74		0.72		0.13
100		88.27		25.00		0.72		0.13
