k		meanRecall		stdRecall		aBO		stdBO
1		28.14		38.75		0.41		0.33
2		42.71		42.15		0.49		0.32
3		52.90		42.38		0.55		0.30
4		57.61		41.85		0.60		0.26
5		61.11		41.34		0.63		0.23
6		63.11		40.87		0.65		0.20
7		64.01		40.49		0.66		0.19
8		64.52		40.39		0.67		0.18
9		64.99		40.18		0.68		0.18
10		65.12		40.21		0.68		0.17
15		66.41		39.95		0.69		0.16
20		67.29		39.78		0.70		0.14
25		67.72		39.59		0.70		0.13
30		67.98		39.39		0.71		0.13
35		68.28		39.25		0.71		0.12
40		68.34		39.26		0.71		0.12
45		68.34		39.26		0.71		0.12
50		68.40		39.19		0.71		0.12
60		68.40		39.19		0.71		0.12
70		68.40		39.19		0.71		0.11
80		68.40		39.19		0.71		0.11
90		68.40		39.19		0.71		0.11
100		68.40		39.19		0.71		0.11
