threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		95.73		14.52		46		17		0.71		0.11
0.1		94.98		16.26		29		12		0.70		0.12
0.15		94.27		17.16		23		10		0.70		0.13
0.2		93.74		18.14		19		8		0.69		0.13
0.25		93.69		18.34		16		7		0.69		0.13
0.3		93.35		19.06		14		6		0.69		0.14
0.35		92.75		19.82		12		5		0.68		0.14
0.4		92.06		20.55		11		5		0.68		0.14
0.45		91.72		20.80		10		4		0.67		0.15
0.5		90.60		21.93		8		4		0.66		0.16
0.55		89.85		23.20		6		3		0.65		0.17
0.6		87.77		26.23		5		2		0.61		0.25
0.65		82.88		31.49		3		2		0.56		0.34
0.7		70.25		40.64		1		1		0.39		0.55
0.75		48.33		44.53		0		0		0.05		0.73
0.8		27.46		38.57		0		0		-0.38		0.76
0.85		6.93		20.80		0		0		-0.82		0.49
0.9		0.00		0.00		0		0		-1.00		0.00
0.95		0.00		0.00		0		0		-1.00		0.00
