threshold		meanRecall		stdRecall		aBO		stdBO
0.05		88.3		24.3		0.71		0.11
0.1		87.7		25.2		0.70		0.12
0.15		86.5		26.7		0.70		0.13
0.2		85.8		27.7		0.69		0.13
0.25		85.4		28.1		0.69		0.13
0.3		84.5		28.9		0.69		0.14
0.35		83.8		29.4		0.68		0.14
0.4		83.0		29.8		0.68		0.14
0.45		81.9		30.8		0.67		0.15
0.5		80.9		31.4		0.66		0.16
0.55		78.5		33.1		0.65		0.17
0.6		75.8		35.2		0.61		0.25
0.65		68.6		39.6		0.56		0.34
0.7		56.8		44.0		0.39		0.55
0.75		41.1		43.8		0.05		0.73
0.8		25.0		37.2		-0.38		0.76
0.85		6.4		20.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
