threshold		meanRecall		stdRecall		aBO		stdBO
0.05		1.0		9.3		0.71		0.11
0.1		1.0		9.3		0.71		0.12
0.15		1.0		9.4		0.71		0.12
0.2		1.3		10.7		0.70		0.13
0.25		1.4		10.8		0.70		0.13
0.3		1.4		10.8		0.70		0.13
0.35		1.3		10.4		0.70		0.13
0.4		1.2		10.2		0.69		0.14
0.45		1.2		10.1		0.69		0.15
0.5		1.2		10.1		0.68		0.15
0.55		1.2		10.1		0.67		0.17
0.6		1.0		9.4		0.64		0.26
0.65		0.6		7.1		0.58		0.35
0.7		0.1		2.5		0.40		0.55
0.75		0.0		0.0		0.05		0.73
0.8		0.0		0.0		-0.37		0.76
0.85		0.0		0.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
